Year of study,Age,parents politics,self politics,religiousness,gender,doctor gf,not walking daughter down aisle,split rent with gf,paying step daughters private school,lost cat,poorly behaved niece,not helping sister with kids on flight,misusing child support,ensuring fair child support amount,paying for kids college,mother-in-laws boyfriend,donating to LGBTQ org,not drinking wife pregnant,bridesmaid sister hair
Senior,20,Mildly conservative,Strongly liberal,Not spiritual at all,Female,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk
Senior,21,Neutral,Strongly liberal,Strongly spiritual,Male,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk
Junior,22,Don't know / It's complicated,Don't know / It's complicated,Strongly spiritual,Male,Not a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk
Junior,20,Neutral,Neutral,Not spiritual at all,Male,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk
Junior,20,Mildly liberal,Strongly liberal,Not spiritual at all,Male,Mildly a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Strongly conservative,Strongly conservative,Strongly spiritual,Male,Not a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Strongly a jerk
Sophmore,19,Strongly liberal,Strongly liberal,Somewhat spiritual,Male,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk
Junior,20,Strongly conservative,Strongly liberal,Not spiritual at all,Male,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk
Junior,20,Mildly conservative,Mildly liberal,Somewhat spiritual,Male,Mildly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Sophmore,19,Strongly liberal,Strongly liberal,Strongly spiritual,Female,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Mildly liberal,Mildly liberal,Not spiritual at all,Male,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk
Sophmore,20,Mildly liberal,Mildly liberal,Not spiritual at all,Male,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk
Junior,21,Mildly liberal,Neutral,Somewhat spiritual,Male,Mildly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk
Sophmore,19,Mildly conservative,Neutral,Strongly spiritual,Female,Not a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk
